प्राचीनकाल	r6
के	lwg__psp
सोलह	nmod__adj
महाजनपदों	nmod
में	lwg__psp
से	lwg__psp
एक	nmod
'	rsym
कुशीनारा	k1
'	rsym
(	rsym
आज	r6
का	lwg__psp
कुशीनगर	rs
)	rsym
अपने	r6
प्राचीन	ccof
,	rsym
NULL	nmod
वैभवशाली	ccof
,	rsym
धर्म	ccof
और	rt
शांति	ccof
के	lwg__psp
लिए	lwg__psp
विश्‍व	r6
के	lwg__psp
धार्मिक	nmod__adj
मानचित्र	k7
पर	lwg__psp
विशिष्‍ट	nmod__adj
स्‍थान	k1s
रखता	main
है	lwg__vaux
।	rsym

रामायण	pof__cn
काल	k7t
में	lwg__psp
भगवान	pof__cn
राम	r6
के	lwg__psp
पुत्र	nmod
कुश	r6
की	lwg__psp
राजधानी	nmod
कुशावती	k2
को	lwg__psp
483	pof__cn
ईसा	pof__cn
पूर्व	k7t
बुद्ध	k1
ने	lwg__psp
अपने	r6
अंतिम	nmod__adj
विश्राम	rt
के	lwg__psp
लिए	lwg__psp
चुना	main
।	rsym

मल्‍लों	r6
की	lwg__psp
राजधानी	k1
होने	rh
के	lwg__psp
कारण	lwg__psp
प्राचीनकाल	k7t
में	lwg__psp
इस	nmod__adj
स्‍थान	r6
का	lwg__psp
अत्‍यंत	nmod__adj
महत्‍व	k1
था	main
।	rsym

बौद्ध	nmod__adj
धर्मावलंबियों	k7a
के	lwg__psp
अनुसार	lwg__psp
लुंबनी	ccof
,	rsym
बोधगया	ccof
और	ras-k1
सारनाथ	ccof
के	lwg__psp
साथ	lwg__psp
ही	lwg__rp
इस	nmod__adj
स्‍थान	r6
का	lwg__psp
विशद्	nmod__adj
महत्‍व	k1
है	main
।	rsym

हिंदू	nmod__adj
राजाओं	r6
के	lwg__psp
काल	k7t
में	lwg__psp
चीन	k5
से	lwg__psp
ह्वेन	pof__cn
सांग	ccof
,	rsym
फाह्यान	ccof
और	k1
इत्‍सिंग	ccof
ने	lwg__psp
अपने	r6
यात्रा	pof__cn
वृत्तांत	k7
में	lwg__psp
इस	nmod__adj
